Country,Province,Date,Type
Belgium,,17/03/2020,Full
Brazil,Anhui,23/01/2020,Full
China,Beijing,23/01/2020,Full
China,Chongqing,23/01/2020,Full
China,Fujian,23/01/2020,Full
China,Gansu,23/01/2020,Full
China,Guangdong,23/01/2020,Full
China,Guangxi,23/01/2020,Full
China,Guizhou,23/01/2020,Full
China,Hainan,23/01/2020,Full
China,Hebei,23/01/2020,Full
China,Heilongjiang,23/01/2020,Full
China,Henan,23/01/2020,Full
China,Hong Kong,23/03/2020,Full
China,Hubei,23/01/2020,Full
China,Hunan,23/01/2020,Full
China,Inner Mongolia,23/01/2020,Full
China,Jiangsu,23/01/2020,Full
China,Jiangxi,23/01/2020,Full
China,Jilin,23/01/2020,Full
China,Liaoning,23/01/2020,Full
China,Macau,26/01/2020,Full
China,Ningxia,23/01/2020,Full
China,Qinghai,23/01/2020,Full
China,Shaanxi,23/01/2020,Full
China,Shandong,23/01/2020,Full
China,Shanghai,23/01/2020,Full
China,Shanxi,23/01/2020,Full
China,Sichuan,23/01/2020,Full
China,Tianjin,23/01/2020,Full
China,Tibet,23/01/2020,Full
China,Xinjiang,23/01/2020,Full
China,Yunnan,23/01/2020,Full
China,Zhejiang,23/01/2020,Full
China,French Guiana,,None
France,French Polynesia,27/03/2020,Partial
France,Guadeloupe,,None
France,Martinique,20/03/2020,Partial
France,Mayotte,,None
France,New Caledonia,,None
France,Reunion,,None
France,Saint Barthelemy,,None
France,St Martin,,None
France,,16/03/2020,Full
France,,20/03/2020,Full
Germany,,15/03/2020,Full
Iran,,11/3/2020,Full
Italy,,27/03/2020,Full
Russia,,14/03/2020,Full
Spain,,23/03/2020,Full
Turkey,Anguilla,18/03/2020,Full
United Kingdom,Bermuda,,None
United Kingdom,British Virgin Islands,,None
United Kingdom,Cayman Islands,,None
United Kingdom,Channel Islands,,None
United Kingdom,Gibraltar,24/03/2020,Full
United Kingdom,Isle of Man,23/03/2020,Full
United Kingdom,Montserrat,,None
United Kingdom,Turks and Caicos Islands,27/03/2020,Full
United Kingdom,,23/03/2020,Full
United Kingdom,Alabama,4/4/2020,Full
United States,Alaska,28/03/2020,Full
United States,Arizona,31/03/2020,Full
United States,Arkansas,,None
United States,California,19/03/2020,Full
United States,Colorado,26/03/2020,Full
United States,Connecticut,23/03/2020,Full
United States,Delaware,24/03/2020,Full
United States,District of Columbia,,None
United States,Florida,2/4/2020,Full
United States,Georgia,,None
United States,Guam,26/03/2020,Full
United States,Hawaii,25/03/2020,Full
United States,Idaho,25/03/2020,Full
United States,Illinois,21/03/2020,Full
United States,Indiana,24/03/2020,Full
United States,Iowa,,None
United States,Kansas,30/03/2020,Full
United States,Kentucky,26/03/2020,Full
United States,Louisiana,23/03/2020,Full
United States,Maine,2/4/2020,Full
United States,Maryland,30/03/2020,Full
United States,Massachusetts,24/03/2020,Full
United States,Michigan,24/03/2020,Full
United States,Minnesota,27/03/2020,Full
United States,Mississippi,3/4/2020,Full
United States,Missouri,6/4/2020,Full
United States,Montana,28/03/2020,Full
United States,Nebraska,,None
United States,Nevada,2/4/2020,Full
United States,New Hampshire,27/03/2020,Full
United States,New Jersey,21/03/2020,Full
United States,New Mexico,24/03/2020,Full
United States,New York,22/03/2020,Full
United States,North Carolina,30/03/2020,Full
United States,North Dakota,,None
United States,Ohio,23/03/2020,Full
United States,Oklahoma,,None
United States,Oregon,23/03/2020,Full
United States,Pennsylvania,2/4/2020,Full
United States,Puerto Rico,13/03/2020,Full
United States,Rhode Island,28/03/2020,Full
United States,South Carolina,,None
United States,South Dakota,,None
United States,Tennessee,31/03/2020,Full
United States,Texas,2/4/2020,Full
United States,Utah,,None
United States,Vermont,25/03/2020,Full
United States,Virgin Islands,25/03/2020,Full
United States,Virginia,30/03/2020,Full
United States,Washington,23/03/2020,Full
United States,West Virginia,24/03/2020,Full
United States,Wisconsin,25/03/2020,Full
United States,Wyoming,,None
